Codigo Parcelamento;Id Divida
0235985;164113639
0236048;164113640
0236055;162600653
0236056;164113641
0236059;164113642
0236081;164113643
0236084;164113644
0236096;164113645
0236103;164113646
0236125;164113647
0236131;164113648
0236139;164113649
0236144;162600742
0236145;164113650
0236153;164113651
0236154;164113652
0236193;164113653
0236205;164113654
0236211;164113655
0236218;164113656
0236245;164113657
0236275;164113658
0236301;164113739
0236355;164113740
0236375;164113741
0236414;164113742
0236433;164113743
0236495;164113744
0236500;162600898
0236585;164113745
0236589;164113746
0236617;164113747
0236618;163845789
0236625;164113748
0236627;164113749
0236638;164113750
0236655;164113751
0236657;164113752
0236669;164113753
0236681;164113754
0236685;164113755
0236688;164113756
0236691;162601017
0236707;164113757
0236732;164113758
0236758;164113819
0236767;164113820
0236777;164113821
0236820;164113822
0236854;164113823
0236862;164113824
0236865;164113825
0236887;164113826
0236926;162601320
0236988;164113827
0237034;164113828
0237035;162601331
0237036;164113829
0237037;164113830
0237098;164113831
0237153;164113832
0237179;164113833
0237187;164113834
0237198;164113835
0237203;164113836
0237210;164113837
0237223;164113838
0237232;164113979
0237259;164113980
0237287;164113981
0237289;164113982
0237293;164113983
0237294;164113984
0237315;164113985
0237317;164113986
0237328;164113987
0237345;162601661
0237353;162601662
0237361;162601663
0237363;164113988
0237370;162601664
0237374;163994719
0237431;163994720
0237438;163994721
0237443;163994722
0237463;163994723
0237465;163994724
0237468;163994725
0237534;163994726
0237542;163994727
0237599;163994728
0237605;163994729
0237606;163994730
0237611;163994731
0237630;163994732
0237661;163994733
0237667;163994734
0237672;163994735
0237691;163994736
0237692;163994737
0237708;163994738
0237746;163994819
0237757;163994820
0237764;163994821
0237795;162601965
0237811;163994822
0237818;163994823
0237820;163994824
0237827;163994825
0237866;163994826
0237873;163994827
0237883;163994828
0237890;163994829
0237899;163994830
0237905;163994831
0237908;163994832
0237910;163994833
0237912;163994834
0237913;163994835
0237914;162601977
0237923;163994836
0237927;163994837
0237955;163994838
0237959;163994939
0237960;163994940
0237962;163994941
0237986;163994942
0238003;163994943
0238012;163994944
0238023;162602108
0238024;163994945
0238033;163994946
0238050;163994947
0238051;163994948
0238059;163994949
0238066;162602112
0238069;163994950
0238078;163994951
0238082;162602114
0238096;163994952
0238103;163994953
0238110;163994954
0238115;163994955
0238117;163994956
0238146;163994957
0238149;163994958
0238151;163995079
0238162;163995080
0238170;163995081
0238172;163995082
0238178;163995083
0238181;163995084
0238193;163995085
0238198;162602225
0238199;163995086
0238204;163995087
0238205;163995088
0238215;163995089
0238222;163995090
0238224;163995091
0238225;163995092
0238232;163995093
0238248;163995094
0238258;163995095
0238261;163995096
0238269;163995097
0238270;163995098
0238275;163995199
0238284;163995200
0238285;163995201
0238295;162602234
0238317;162602236
0238321;163995202
0238363;163995203
0238367;163995204
0238368;162602341
0238386;163995205
0238389;163995206
0238391;163995207
0238395;163995208
0238397;163995209
0238406;162602345
0238407;163995210
0238414;162602346
0238445;163995211
0238464;163995212
0238468;163995213
0238472;163995214
0238480;163995215
0238490;162602354
0238505;163995216
0238519;163995217
0238526;163995218
0238537;163995299
0238545;163995300
0238557;163995301
0238581;163995302
0238582;163995303
0238584;163995304
0238587;163995305
0238597;162602504
0238599;163995306
0238604;163995307
0238609;163995308
0238627;162602507
0238658;163995309
0238674;163995310
0238706;163995311
0238711;163995312
0238741;163995313
0238746;163995314
0238760;163995315
0238769;163995316
0238775;162602642
0238785;163995317
0238788;163995318
0238793;163995439
0238796;163995440
0238805;162602645
0238808;163995441
0238845;163995442
0238852;163995443
0238857;163995444
0238863;163995445
0238881;163995446
0238901;163995447
0238918;163995448
0238929;162602657
0238944;163995449
0238946;163995450
0238961;162474621
0238972;163995451
0238987;163995452
0239000;163995453
0239010;163967120
0239011;162474626
0239014;163995454
0239016;163995455
0239021;163995456
0239042;163995457
0239073;163995458
0239076;163995579
0239077;163995580
0239083;163995581
0239090;163995582
0239122;163995583
0239125;163995584
0239138;163995585
0239139;163995586
0239147;163995587
0239165;163995588
0239189;163995589
0239262;163995590
0239285;163995591
0239287;163995592
0239302;163995593
0239305;162474675
0239314;163995594
0239327;163995595
0239331;163995596
0239338;163995597
0239358;163995598
0239367;163995719
0239384;163967740
0239395;163995720
0239429;162474707
0239433;163995721
0239440;163995722
0239456;163995723
0239478;163995724
0239483;163995725
0239484;163995726
0239496;162474714
0239503;163995727
0239557;163995728
0239593;162474764
0239595;163995729
0239604;163995730
0239605;163995731
0239623;162474767
0239627;163995732
0239633;163995733
0239637;163995734
0239650;163995735
0239655;163995736
0239659;163995737
0239660;163995738
0239681;163995839
0239685;163995840
0239706;163995841
0239707;163995842
0239722;163995843
0239741;163995844
0239744;163995845
0239761;163995846
0239766;163995847
0239767;163995848
0239791;163995849
0239819;163968352
0239828;162474787
0239831;163995850
0239848;163995851
0239854;163995852
0239855;163995853
0239864;163995854
0239866;163995855
0239892;163995856
0239895;162474794
0239908;163995857
0239929;163995858
0239930;163995959
0239932;163995960
0239941;162474819
0239953;163995961
0239997;163995962
0240041;163995963
0240054;163995964
0240055;163995965
0240077;163995966
0240089;163995967
0240109;162474833
0240145;163995968
0240163;163995969
0240179;163995970
0240192;162474881
0240203;163995971
0240208;163995972
0240215;163995973
0240222;162474884
0240236;163995974
0240247;163995975
0240270;163995976
0240274;163995977
0240281;162474889
0240310;163995978
0240318;163996119
0240334;163996120
0240343;163996121
0240347;163996122
0240362;162474897
0240364;163996123
0240369;163996124
0240373;163996125
0240384;163996126
0240394;163996127
0240409;163996128
0240420;163996129
0240421;163996130
0240425;163996131
0240436;163996132
0240445;163996133
0240452;163996134
0240465;163996135
0240466;163967260
0240470;163996136
0240476;163996137
0240482;163996138
0240495;163996279
0240496;163996280
0240498;163996281
0240502;163996282
0240507;163996283
0240518;163996284
0240527;163996285
0240581;163996286
0240583;162474979
0240585;163996287
0240591;162474980
0240594;163967276
0240602;163996288
0240610;163996289
0240615;163996290
0240633;163996291
0240638;163996292
0240643;163996293
0240685;163996294
0240697;163967488
0240700;163996295
0240703;163996296
0240709;163996297
0240723;163959699
0240747;163959700
0240753;162474996
0240763;163959701
0240774;163959702
0240777;163959703
0240784;163959704
0240815;163959705
0240827;163959706
0240840;163959707
0240844;163959708
0240855;163959709
0240863;163959710
0240891;163959711
0240894;163959712
0240909;163959713
0240920;163959714
0240932;163959715
0240935;163959716
0240943;163959717
0240955;163959718
0240980;163959839
0240989;163959840
0241002;163959841
0241012;163959842
0241021;163959843
0241026;163959844
0241036;163959845
0241046;163959846
0241048;163959847
0241059;162475085
0241073;163959848
0241078;163959849
0241093;163959850
0241132;163959851
0241140;163959852
0241156;162475095
0241161;163959853
0241164;162475096
0241168;163959854
0241174;163959855
0241181;163959856
0241213;163959857
0241237;162475143
0241243;163959858
0241244;163959979
0241254;163959980
0241296;162475149
0241299;163959981
0241325;163959982
0241334;162475153
0241338;163959983
0241343;163959984
0241357;163959985
0241377;162475157
0241408;163959986
