Numero RCL,Inscricao Imobiliaria,Tipo Lancamento  (1-Normal 2-Complementar),Exercicio
30179782023,99991252420000000,1,2023
30040052023,99990881590290000,1,2023
30046732023,99990543230830000,1,2023
30046732023,99990543230840000,1,2023
30070382023,99990551490020000,1,2023
30037332023,99990951180000000,1,2023
30040312023,99991190610000000,1,2023
30042352023,99990554070020000,1,2023
30047642023,99991041220020000,1,2023
30064732023,99991131480000000,1,2023
30069962023,99991162650000000,1,2023
30094572023,99990555440010000,1,2023
30063012023,99990133070000000,1,2023
30098362023,99990603590000000,1,2023
30048042023,99990234230000000,1,2023
30040672023,99990070300010000,1,2023
30110762023,99991051020000000,1,2023
30110702023,99991051010000000,1,2023
30110542023,99991172910000000,1,2023
30111522023,99991129410020000,1,2023
30093452023,99990966240000000,1,2023
30099432023,99990960810020000,1,2023
30086092023,99990389420590000,1,2023
30086192023,99990723640000000,1,2023
30086242023,99990389420520000,1,2023
30117462023,99990092910000000,1,2023
30119962023,99991031730000000,1,2023
30114692023,99991040090000000,1,2023
30120392023,99990009180000000,1,2023
30078032023,99990589380270000,1,2023
30076602023,99990360220040000,1,2023
30108822023,99990991800000000,1,2023
30127072023,99990534140020000,1,2023
30127112023,99990534140030000,1,2023
40124252023,99991043880000000,1,2023
30126502023,99990558750020000,1,2023
30127032023,99990534140010000,1,2023
30130262023,99990308520020000,1,2023
30131492023,99990612210000000,1,2023
30135912023,99990097410070000,1,2023
30143742023,99990012580130000,1,2023
30143842023,99991058840080000,1,2023
30143542023,99991058840070000,1,2023
30143192023,99991058840060000,1,2023
30143142023,99991058840050000,1,2023
30146472023,99990060320010000,1,2023
30139322023,99990954400200000,1,2023
40138182023,99990125180290000,1,2023
30146012023,99990635290000000,1,2023
30136862023,99991058840030000,1,2023
30136522023,99991058840020000,1,2023
30132802023,99990671510570000,1,2023
30132802023,99990671510460000,1,2023
30137472023,99990569200310000,1,2023
30137472023,99990569200320000,1,2023
30136322023,99991058840010000,1,2023
30152962023,99991129180000000,1,2023
30147562023,99990323501320000,1,2023
40152062023,99990381830000000,1,2023
